"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1713,2.2605e-14,3.5629e-16,0.0037907,0.005681,0.77535,1,30.132,30.132,0,0
1.1715,2.2608e-14,3.5634e-16,0.0039152,0.0059035,0.77463,1,30.256,30.256,0,0
1.1716,2.2611e-14,3.5639e-16,0.0039903,0.005991,0.77391,1,30.38,30.38,0,0
1.1717,2.2613e-14,3.5642e-16,0.0039984,0.0058774,0.77319,1,30.504,30.504,0,0
1.1718,2.2615e-14,3.5646e-16,0.0040275,0.0058161,0.77248,1,30.628,30.628,0,0
1.1719,2.2617e-14,3.5649e-16,0.0040936,0.0058835,0.77179,1,30.752,30.752,0,0
1.172,2.2619e-14,3.5652e-16,0.0041879,0.0060601,0.77108,1,30.876,30.876,0,0
1.1721,2.262e-14,3.5654e-16,0.00429,0.0062577,0.77035,1,31,31,0,0
1.1722,2.2621e-14,3.5655e-16,0.004331,0.0062668,0.76963,1,31.124,31.124,0,0
1.1722,2.2622e-14,3.5656e-16,0.0043953,0.0064191,0.7689,1,31.248,31.248,0,0
1.1722,2.2622e-14,3.5657e-16,0.0044799,0.0066067,0.76819,1,31.372,31.372,0,0
1.1722,2.2622e-14,3.5657e-16,0.0045481,0.0066346,0.76748,1,31.496,31.496,0,0
1.1722,2.2622e-14,3.5656e-16,0.0046175,0.0065825,0.76678,1,31.62,31.62,0,0
1.1722,2.2621e-14,3.5655e-16,0.0046596,0.0064201,0.76608,1,31.744,31.744,0,0
1.1721,2.262e-14,3.5654e-16,0.0046894,0.0062495,0.76537,1,31.868,31.868,0,0
1.1721,2.2619e-14,3.5652e-16,0.0048079,0.0063574,0.76465,1,31.992,31.992,0,0
1.172,2.2618e-14,3.565e-16,0.0049538,0.0065294,0.76394,1,32.116,32.116,0,0
1.1719,2.2616e-14,3.5647e-16,0.005117,0.0066887,0.76322,1,32.24,32.24,0,0
1.1718,2.2614e-14,3.5644e-16,0.0053132,0.0068531,0.76248,1,32.364,32.364,0,0
1.1717,2.2612e-14,3.5641e-16,0.0055048,0.0069248,0.76174,1,32.488,32.488,0,0
1.1715,2.2609e-14,3.5637e-16,0.0055683,0.0066433,0.76101,1,32.612,32.612,0,0
1.1714,2.2606e-14,3.5632e-16,0.0055659,0.0062297,0.76033,1,32.736,32.736,0,0
