"U:0","U:1","U:2","k","nut","omega","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1158,2.1533e-14,3.394e-16,0.0017817,0.0038851,0.45859,0.81781,0,1,17.236,17.236,0,0
1.1165,2.1546e-14,3.3961e-16,0.0017778,0.0038781,0.45841,0.81703,0,1,17.36,17.36,0,0
1.1172,2.156e-14,3.3983e-16,0.0017733,0.0038699,0.45823,0.81625,0,1,17.484,17.484,0,0
1.1179,2.1573e-14,3.4004e-16,0.0017685,0.003861,0.45805,0.81547,0,1,17.608,17.608,0,0
1.1186,2.1587e-14,3.4025e-16,0.0017635,0.0038514,0.45788,0.8147,0,1,17.732,17.732,0,0
1.1192,2.16e-14,3.4046e-16,0.0017576,0.0038396,0.45776,0.81393,0,1,17.856,17.856,0,0
1.1199,2.1613e-14,3.4066e-16,0.0017518,0.0038279,0.45763,0.81315,0,1,17.98,17.98,0,0
1.1206,2.1626e-14,3.4087e-16,0.0017488,0.0038204,0.45774,0.81238,0,1,18.104,18.104,0,0
1.1213,2.1639e-14,3.4108e-16,0.0017463,0.0038138,0.45789,0.81162,0,1,18.228,18.228,0,0
1.1219,2.1652e-14,3.4128e-16,0.0017458,0.0038105,0.45814,0.81085,0,1,18.352,18.352,0,0
1.1226,2.1665e-14,3.4148e-16,0.0017479,0.0038119,0.45853,0.81009,0,1,18.476,18.476,0,0
1.1233,2.1678e-14,3.4169e-16,0.00175,0.0038132,0.45893,0.80933,0,1,18.6,18.6,0,0
1.1239,2.1691e-14,3.4188e-16,0.0017539,0.0038169,0.45951,0.80857,0,1,18.724,18.724,0,0
1.1246,2.1703e-14,3.4208e-16,0.0017579,0.0038207,0.46009,0.80781,0,1,18.848,18.848,0,0
1.1252,2.1716e-14,3.4228e-16,0.0017626,0.0038257,0.46074,0.80706,0,1,18.972,18.972,0,0
1.1259,2.1728e-14,3.4248e-16,0.0017679,0.0038315,0.46142,0.80631,0,1,19.096,19.096,0,0
1.1265,2.1741e-14,3.4267e-16,0.0017735,0.0038377,0.46212,0.80555,0,1,19.22,19.22,0,0
1.1272,2.1753e-14,3.4287e-16,0.0017801,0.0038456,0.46289,0.8048,0,1,19.344,19.344,0,0
1.1278,2.1765e-14,3.4306e-16,0.0017868,0.0038535,0.46366,0.80405,0,1,19.468,19.468,0,0
1.1284,2.1777e-14,3.4325e-16,0.0017942,0.0038629,0.46448,0.80331,0,1,19.592,19.592,0,0
1.1291,2.1789e-14,3.4344e-16,0.001802,0.0038726,0.46531,0.80256,0,1,19.716,19.716,0,0
1.1297,2.1802e-14,3.4363e-16,0.0018101,0.003883,0.46616,0.80182,0,1,19.84,19.84,0,0
1.1303,2.1813e-14,3.4382e-16,0.001819,0.0038946,0.46705,0.80107,0,1,19.964,19.964,0,0
1.1309,2.1825e-14,3.4401e-16,0.0018279,0.0039062,0.46794,0.80033,0,1,20.088,20.088,0,0
1.1315,2.1837e-14,3.4419e-16,0.0018376,0.0039191,0.46887,0.79959,0,1,20.212,20.212,0,0
1.1321,2.1849e-14,3.4438e-16,0.0018474,0.0039323,0.4698,0.79884,0,1,20.336,20.336,0,0
1.1327,2.186e-14,3.4456e-16,0.0018576,0.003946,0.47075,0.7981,0,1,20.46,20.46,0,0
